address,balance
rns2Snk6mFnbK3PBq6nDcZnQcdBJVXz7zq,500000000
rB2VU1k7HQ1DheNGhQufFqb5GH1rDVBEiH,500000000
rax7ZTiD1SUzpZSgrnd1ESDtyVyAZvRAWx,500000000
rES3QZxYLLFc1efH2pXFJjMZov86PwgjYU,500000000
rNm3d1TsNkU4nBfMxCSJgie4umXYxbd7S6,500000000
raDxjVU5c4Ti6gGnv529QH5SeWJBauak9U,500025776.8617566
rMao6sb6Gg1g1dZMS5uCSqkKg2vDrSmkSD,500098521.1822659
rM4VHefYmohsacP4jLVoU5qcZScPCLRGRi,500098522.1674876
rw34D6m3qfER9A2HbNU5WzuDTcPwP94Sf6,500268241.0553339
rLiHJpQknuC5QrcCZs2FfAn71TbDNKcLMh,500492609.8522279
rUCeyot1TNSF2v87CJRjA97sQamLC28jTW,500492610.8374384
rNN8FgmtAmJ7Jv5qMPpc5JZHx3okobxLNt,500492611.82266
rhEKnHhYxpp229p78eSATALxN3A2dV8xbT,500493694.5812807
r3YK2y8V1yXsn9TuWMWJcr32tAAgmnLz2V,500888743.0676256
rUQqs366Acp3korqcDBvixxUgmUd6fDQJd,501461419.4574955
rUDpyPJAeML18bNWuEtwCy2DS3CfFGuCKA,501761947.5759452
rhRoacRp3rUnAHCLq1XVDqTF8ofCdw1YAw,501946104.0944184
rHEsWci2hJxabdWCghBSeYLAsKuFqT3abZ,502463053.2019704
rfVZygFLmLw9S6HJgwcmN8sorvSgxU1ukB,502544815.612391
rNy57V32ntejVAmCmRFkkdknmvyWTQBG2u,504200959.105195
rfw7nxpanVTV7he4SW5m4B52jQ9kn1SYjh,507377703.4482757
r3bRiq2J8E4nhLHhvSAQK7ESw2B8UiMxw4,522070720.7681345
r3ef8sW34YR8BCDDpCjy7RcjVYSh8wEgH9,527440184.783398
rpE9RhyRQomAnnEvzqaAesaQKCm4HX2Tq6,531805389.9935192
r9cF3t1f9RtUh84xPVQ5s1avKjb97GZzPk,546189115.2621189
r42g1CMEgMNcBYhUULvZJmsWB4uhBCJLih,550842055.2090907
rKUYWZivW5GRMqTWqNGXrGjDkdCaZRpBnA,564621742.4690679
rN41MhxGZA4b93M3dA9suVLTXoLC79aJG1,565906695.6378679
rNogbPtQNTP9EpkPyvfa6wxxvSGtVskL1h,567259434.8948638
rDhaEPiNWYESZgkMzs1uJMhRBY6trTGU9d,575689655.1724138
rDvZFt8h4epNzRirnJVvZcfct7hWfwLXvD,581535694.373882
rn2F2ytVMghuHqoYTsjYLxkPJD1sNxMrHP,589256570.4433497
rBdYfiQ1dVEaJk8kZXwdFLEVGeYUraLXvU,706182007.1824659
rKTLHcX3weBYP4CYjEffSRM8866EzU9z7L,733531118.8112807
rwDDdbhBfPUZ3ChRbGY4BLg3VyfgksM1Za,880000018.6686362
rBkVhjWZpsbLr3d3TQ3wHfV7TxZvwZtaiz,884697540.944156
rExSJvWnn93G5NfnzZ3YKuPgpQnr8wBsrE,983411712.959094
rKsKz4ehz5Guw3BYJB1NvWQYQtFHErxieV,987488476.451264
