address,balance
rUGtm5xTuVaRzfZzo8AVCcNVUKAaiUKMK9,250000000.9999998
rKNiHD7KwCU6ahi8iXMoASn4ZXqJ1n37n7,250227655.5352637
rnKTmBHfPY8qAu2YQ89HzNeRzLE6M4rcdm,250238538.0176344
rfzBaW3gWYF9fRj2U5Wbt4tGdS4PqHbPcb,250250000
rpd8wt43PpdUdJVsXQ6vTUDfJq99P1GodW,250448472.9544328
rraaMWXYLrBT8Hr98J2cF6HSK59veLMSwY,250639307.6124145
rapC1Zcg6eorkUAMiXyaEmQ287L71SwvoZ,250785698.296737
rnsqjWzJBY6gEjhK5ymqVCuVKjtHqW1tEc,251732726.9174016
rPW3uJeyAu9Cm4oiCpNGuwu3UuPgvS6KKv,251804855.1785349
rNw97fEaArBWTKywaGiX4mDBivVD9J5nru,252556870.9999997
rps5Hih58G6oiBwbbjdPHGaFNwcswMdVip,252623385.3454731
r4vrvMXZ4rJQL1uYeT4eP5cgb2pt8R4MzX,253146736.4212023
rp2gaVPkqcNGt99B4cjaQLHbyigQuHXTCM,253392543.308528
rBBoyEqXqQdeGgdVRAy5sqUCPFB4Cbhnp,253666874.9564253
rmpY6BDCQLtDE1D7VPFCFbcGZvjtts2Vc,253980292.1230395
rEeSSJRRv8Vy48H6mR3mKHQq9P24E6L1m5,255543930.049261
rNBrxQwjiPbKEV2WhBEpGSMySCZMGhewFx,255651399.4025588
rfMTFmYpQoL8kQq8APaSkrxtJoZ73EDTV7,256157634.4827586
rKZe7wXaQmd9M7hmAgUNVWdJ8yiQpNVCp6,258320646.2618284
rDa5iiCQUgkrUzMbbZg21fpgCLwKVDbKU3,258547695.5665022
rN9U7qcQzj1mVMdAtZUpSm6yz6so66BfZN,259736758.0020342
rNZ6nYeWxi9osa5r8GNvNbuzXqNhR3quJB,261083743.8423645
rB6tnaABwBmU2BnMATnk52pCupPp9n9rjc,266708168.4729063
rK2vFuTLBF5Jha7kMYRynGgVYxZ8JTro2n,266899482.6724699
rB1ckzFP6NJz2S3gKL4zgqv1J7w2XuLjG1,270567928.9533359
rn3px1vinZEP1A7nfvjukYxpZM6sGJ6sT9,272050689.6551724
ra1eJuDnC59YsixcUJQsB9u9R77B9qsBE2,274873690.2000077
rf5y1F7HP1nmb3tHCTptvoNFaXPXQ2c7zG,276302463.0541869
r9mMVfPRFV3UQ9GZHQhwVdWwPC4EgCxbkp,278182568.6515581
rBGLv9CCNkN32zVQutfVLw1mMyo97R9r5e,278891133.1379476
ruRb7BuU4hAXfvChhkGmK65oh6Ac4W7xK,286800766.1793973
rPhiKkqbvgz1gDwXiW6A3DrdAqbv2VBQ3s,288961113.2911113
rskB9wakwUH6NYcqkQu4m6k4TmszmyDSog,292129165.6485507
rwhWQcnNWuQxKKiQpjBUfir5ZVFX5MJdDu,293358447.8392219
rsaBGbaUsn4tbFTCiQG1Egy5xt6Ge1Ur4n,298576685.5983063
rGGGT4XZZduqwEi3GcafsZTB93Zrn41EKf,299999999.6626472
rHBwxv4CrziHBtuD54CLu8UaBvyFdR1rV1,299999999.9999997
r4oa2d3wQaG5EzNMEjU6UtLYQgNzYeckKU,301918378.4913377
rMJXWbwuzdjGuAe2TEQGY6s7BTDKybtFnq,311472552.7061853
rf8osSC98A9tUV2DVct8KC5ATa4hc8Ver7,317155442.9876344
rBgS3ifJ7ogrLH464P167HT8ZWXLb2fWvw,317811593.1034482
rJ1crnbBf4vErcCdXBGToAFKhG66HRVxPM,324063848.275862
r95fiidRJYgbzvCkQxsBCkmtBVjD1KPAFs,330000000.7343444
rJRjqaxsE3Jk7uZ7A9iKZTLj5cSiZ92DCT,344312921.2528716
rBtX8EMHeNgBfis4cSHCsg9Y4Vaw53YYp4,345565473.3432013
rB33HSyqTCPPa2fuoiLt8rbYzq4cZa8GRh,346060606.0606061
r9s2VDLiXKfsMkTVSW7n9PYcmA8A8qMzBf,354912274.2715532
rE2zTuSRVnwgpsEtqeChMJeyfAYDoP199f,354932563.6649649
rUgsrf5HrYkzCgC5Z2RoZkbuNH79Ja8mjS,357376020.3335674
rUqvpjxGjPSceiaH3ywbKHsiq2CBPYa9qM,362158278.237037
rHftp3Fs8uceMEZNYo6dvm5zK48d8GxYoM,365237758.6699506
rskr17AzQwdLgQ3bPh9VyN2SFFUpuk4RUr,400427867.9576462
rKyxE8HrSoQmpa6iGzPhMbTNLnJbofvfio,437971058.698295
r42SxDdFrQ7GcG2Ho43heRrWQbmCTBRyFs,439920629.0384315
